OBJECTID,Leg_Name,LegB_Name,Active_ind,In_Effect_Desc,Shape.STLength()
267,US Forest Service boundary,,,April 1 2026 to March 31 2027,2556.073823997886
268,US Forest Service boundary,,,April 1 2026 to March 31 2027,1390.5912814988465
269,US Forest Service boundary,,,April 1 2026 to March 31 2027,2427.534812934263
270,US Forest Service boundary,,,April 1 2026 to March 31 2027,1697.4362919012428
271,US Forest Service boundary,,,April 1 2026 to March 31 2027,2172.8752175359427
272,US Forest Service boundary,,,April 1 2026 to March 31 2027,2600.668778119337
273,US Forest Service boundary,,,April 1 2026 to March 31 2027,43.387072766293024
274,US Forest Service boundary,,,April 1 2026 to March 31 2027,42.74371863478797
275,US Forest Service boundary,,,April 1 2026 to March 31 2027,7323.422065735798
276,US Forest Service boundary,,,April 1 2026 to March 31 2027,1161.93601791904
277,US Forest Service boundary,,,April 1 2026 to March 31 2027,4158.152058912259
278,US Forest Service boundary,,,April 1 2026 to March 31 2027,1317.3914632492827
279,US Forest Service boundary,,,April 1 2026 to March 31 2027,948.693297634934
280,US Forest Service boundary,,,April 1 2026 to March 31 2027,2.1863536350449393
281,Canyon Ranch Road,,,April 1 2026 to March 31 2027,5500.963741900442
282,US Forest Service boundary,,,April 1 2026 to March 31 2027,1253.79211684928
283,US Forest Service boundary,,,April 1 2026 to March 31 2027,11969.255198122086
284,US Forest Service boundary,,,April 1 2026 to March 31 2027,1073.1666693018792
285,US Forest Service boundary,,,April 1 2026 to March 31 2027,10906.765602173684
286,US Forest Service boundary,,,April 1 2026 to March 31 2027,5883.159860323302
287,Lower Joe Creek Road,,,April 1 2026 to March 31 2027,3504.933647323508
288,US Forest Service boundary,,,April 1 2026 to March 31 2027,3100.9414387256547
289,Yakima River,,,April 1 2026 to March 31 2027,13101.592291320576
290,Yakima River,,,April 1 2026 to March 31 2027,3601.8298275468874
291,South Branch Canal,,,April 1 2026 to March 31 2027,59769.813102347296
292,Taneum Creek,,,April 1 2026 to March 31 2027,13782.133068894298
293,Unnamed Creek in  Long Tom Canyon,,,April 1 2026 to March 31 2027,1903.0430239052323
294,US Forest Service Trail 3113,,,April 1 2026 to March 31 2027,47522.319795781696
295,US Forest Service Trail 3113,,,April 1 2026 to March 31 2027,27131.401354020287
296,John Wayne Pioneer Trail,,,April 1 2026 to March 31 2027,4018.2571633626117
297,John Wayne Pioneer Trail,,,April 1 2026 to March 31 2027,21676.080232622102
298,Rainwater Wildlife Area boundary,,,April 1 2026 to March 31 2027,5134.945982408473
299,Umatilla National Forest boundary,,,April 1 2026 to March 31 2027,8466.534387558406
300,US Highway 12,0,,April 1 2026 to March 31 2027,1064.542478427171
301,Umatilla National Forest boundary,0,,April 1 2026 to March 31 2027,6029.217469549297
302,Dent Road,0,,April 1 2026 to March 31 2027,16268.862507431408
303,Lewis Peak Road,0,,April 1 2026 to March 31 2027,11126.45945248388
304,Umatilla National Forest boundary,0,,April 1 2026 to March 31 2027,15683.190089891086
305,Umatilla National Forest boundary,0,,April 1 2026 to March 31 2027,44152.410004791585
306,Umatilla National Forest boundary,,,April 1 2026 to March 31 2027,47561.354808230215
307,Skyline Drive Road,,,April 1 2026 to March 31 2027,18834.86173761915
308,Maloney Mountain Road,,,April 1 2026 to March 31 2027,12082.05574082649
309,Patit Road,,,April 1 2026 to March 31 2027,74668.4906132834
310,Maloney Mountain Road,,,April 1 2026 to March 31 2027,5540.596872731721
311,Payne Hollow Road,0,,April 1 2026 to March 31 2027,18406.146227050576
312,US Highway 12,0,,April 1 2026 to March 31 2027,17076.071589439358
313,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,15663.584812267329
314,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,1173.8979520403275
315,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,750.530169966713
316,Rainwater Wildlife Area Boundary - Owned by the Umatilla Tribe,,,April 1 2026 to March 31 2027,15765.13098925071
317,Lewis Peak Road,0,,April 1 2026 to March 31 2027,711.6655470904675
